City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Severo-Kuril'sk,50.68,156.12,42.78,91,100,17.13,RU,1592687854
Castro,-24.79,-50.01,61.29,82,0,4.52,BR,1592687628
Shimoda,34.67,138.95,71.01,79,0,3.33,JP,1592687854
Narsaq,60.92,-46.05,53.6,40,75,5.82,GL,1592687854
Broome,42.25,-75.83,80.01,57,1,3.36,US,1592687854
Belyy Yar,53.6,91.39,51.8,81,40,8.95,RU,1592687854
Dzilam González,21.28,-88.93,90.0,69,6,5.79,MX,1592687855
Geraldton,-28.77,114.6,46.4,93,0,3.36,AU,1592687855
Ribeira Grande,38.52,-28.7,68.0,88,40,13.87,PT,1592687855
Zhigansk,66.77,123.37,70.3,43,0,3.94,RU,1592687855
Chokurdakh,70.63,147.92,83.89,23,0,10.38,RU,1592687855
Hermanus,-34.42,19.23,54.0,96,65,1.01,ZA,1592687855
Acapulco de Juárez,16.86,-99.89,89.6,66,40,10.29,MX,1592687784
Mount Isa,-20.73,139.5,60.8,38,0,12.75,AU,1592687855
Jambusar,22.05,72.8,85.26,75,87,17.29,IN,1592687766
Portland,45.52,-122.68,64.99,88,90,8.05,US,1592687252
Busselton,-33.65,115.33,41.0,71,0,6.13,AU,1592687856
Isangel,-19.55,169.27,72.39,77,43,14.45,VU,1592687856
George Town,5.41,100.34,82.4,88,20,5.03,MY,1592687850
Port Elizabeth,-33.92,25.57,55.4,93,68,4.7,ZA,1592687856
Nouadhibou,20.93,-17.03,73.4,69,16,5.82,MR,1592687856
Gimli,50.63,-96.99,60.01,93,100,3.0,CA,1592687857
Raudeberg,61.99,5.14,63.0,82,97,0.45,NO,1592687857
Bac Lieu,9.29,105.72,78.42,85,100,5.41,VN,1592687857
Port Blair,11.67,92.75,82.44,83,89,10.8,IN,1592687857
Dunedin,-45.87,170.5,43.0,94,93,3.0,NZ,1592687674
Laguna,38.42,-121.42,87.01,37,1,4.7,US,1592687857
San Andrés,12.58,-81.7,84.2,83,75,18.34,CO,1592687858
Mataura,-46.19,168.86,39.0,83,38,3.0,NZ,1592687858
Guanare,9.04,-69.74,78.37,85,100,3.31,VE,1592687858
Zhuhai,22.28,113.57,84.99,83,20,12.75,CN,1592687858
Upernavik,72.79,-56.15,41.18,73,0,7.52,GL,1592687859
Hobart,-42.88,147.33,46.4,93,75,5.82,AU,1592687859
Grindavik,63.84,-22.43,53.6,81,75,20.8,IS,1592687859
Jardim,-21.48,-56.14,78.75,51,0,5.41,BR,1592687859
Avera,33.19,-82.53,91.4,36,40,10.29,US,1592687859
Bredasdorp,-34.53,20.04,55.4,93,28,5.35,ZA,1592687859
Nuuk,64.18,-51.72,41.0,86,75,10.29,GL,1592687859
Kahului,20.89,-156.47,84.2,54,20,18.34,US,1592687738
Tazovsky,67.47,78.7,42.28,94,64,9.57,RU,1592687859
Hare Bay,48.85,-54.01,55.4,54,75,8.05,CA,1592687860
Punta Arenas,-53.15,-70.92,39.2,80,75,5.82,CL,1592687803
Sambava,-14.27,50.17,74.57,90,98,14.25,MG,1592687860
Lompoc,34.64,-120.46,66.2,72,12,13.87,US,1592687849
Baruun-Urt,46.68,113.28,62.37,73,100,11.79,MN,1592687860
Pitimbu,-7.47,-34.81,78.8,83,75,9.17,BR,1592687860
Ürümqi,43.8,87.6,59.0,82,20,8.95,CN,1592687860
Lüderitz,-26.65,15.16,60.8,67,0,6.93,NA,1592687860
Esperance,-33.87,121.9,39.2,86,0,5.82,AU,1592687861
Tasiilaq,65.61,-37.64,46.4,65,100,36.91,GL,1592687861
Marsá Maţrūḩ,31.35,27.25,75.2,47,0,5.82,EG,1592687861
Katangli,51.71,143.23,41.49,96,100,7.63,RU,1592687861
Emerald,-23.53,148.17,59.0,87,90,6.93,AU,1592687861
Paracatu,-17.22,-46.87,69.75,76,10,4.36,BR,1592687861
Kapaa,22.08,-159.32,79.0,83,90,10.29,US,1592687862
Sahuaripa,29.05,-109.23,104.9,12,2,7.31,MX,1592687862
Carauari,-4.88,-66.9,87.19,63,51,2.8,BR,1592687862
East London,-33.02,27.91,69.35,30,0,8.86,ZA,1592687862
Bambous Virieux,-20.34,57.76,70.0,88,40,11.41,MU,1592687862
Albanel,48.88,-72.45,80.6,61,75,3.27,CA,1592687856
Zhangye,38.93,100.45,72.03,42,100,3.13,CN,1592687863
Souillac,-20.52,57.52,69.8,88,40,11.41,MU,1592687863
Lebu,-37.62,-73.65,52.84,85,50,13.35,CL,1592687863
Cap Malheureux,-19.98,57.61,70.0,82,95,14.0,MU,1592687863
Junín,-34.58,-60.94,59.0,64,100,6.89,AR,1592687863
Cape Town,-33.93,18.42,60.01,93,40,8.05,ZA,1592687815
Nemuro,43.32,145.57,50.11,87,1,8.21,JP,1592687863
Imeni Babushkina,59.76,43.13,42.71,81,0,4.41,RU,1592687864
Kieta,-6.22,155.63,80.22,77,49,3.06,PG,1592687864
Burnie,-41.07,145.92,45.0,93,5,4.0,AU,1592687864
Galveston,29.37,-94.97,84.99,74,1,12.75,US,1592687736
Atuona,-9.8,-139.03,79.74,76,4,16.26,PF,1592687864
Provideniya,64.38,-173.3,57.79,42,0,5.01,RU,1592687864
Avarua,-21.21,-159.78,73.4,73,100,8.05,CK,1592687864
Hong Kong,22.29,114.16,84.99,79,60,5.01,HK,1592687865
Qaanaaq,77.48,-69.36,40.3,70,99,7.96,GL,1592687865
Cherskiy,68.75,161.3,80.28,27,100,10.22,RU,1592687865
Kearney,40.7,-99.08,80.6,57,1,9.17,US,1592687865
Carnarvon,-24.87,113.63,57.2,100,0,10.22,AU,1592687865
Acaraú,-2.89,-40.12,78.94,82,3,12.66,BR,1592687865
Nísia Floresta,-6.09,-35.21,80.6,74,40,16.11,BR,1592687865
Hokitika,-42.72,170.97,45.48,61,0,7.16,NZ,1592687866
Srednekolymsk,67.45,153.68,82.4,33,2,9.62,RU,1592687866
Sar-e Pul,35.83,66.17,64.35,27,0,3.56,AF,1592687866
Yerbogachën,61.28,108.01,59.18,84,59,2.44,RU,1592687866
Smidovich,48.6,133.82,52.21,84,100,14.16,RU,1592687866
Nanortalik,60.14,-45.24,41.11,74,100,8.93,GL,1592687867
Faya,18.39,42.45,77.0,53,100,3.47,SA,1592687867
Alyangula,-13.85,136.42,64.4,93,0,3.36,AU,1592687867
Pangkalanbuun,-2.68,111.62,74.39,98,100,2.86,ID,1592687867
Pevek,69.7,170.31,43.93,69,78,6.49,RU,1592687867
Troitsko-Pechorsk,62.71,56.2,41.9,92,100,13.22,RU,1592687867
Chuka,-0.33,37.65,62.1,84,62,2.42,KE,1592687867
Hirara,24.8,125.28,83.7,82,20,18.25,JP,1592687868
Nosy Varika,-20.58,48.53,68.83,87,100,5.39,MG,1592687868
Karratha,-20.74,116.85,67.46,39,0,14.5,AU,1592687708
Yanahuanca,-10.52,-76.5,50.49,45,39,8.48,PE,1592687868
Margate,51.38,1.39,60.01,78,11,1.99,GB,1592687868
Xinqing,48.23,129.5,54.41,95,100,11.7,CN,1592687868
Sterling,39.01,-77.43,80.01,69,75,10.29,US,1592687579
Pasni,25.26,63.47,84.45,83,48,8.57,PK,1592687869
Norman Wells,65.28,-126.83,66.2,88,75,17.22,CA,1592687869
Mar del Plata,-38.0,-57.56,53.01,76,100,5.82,AR,1592687598
Tiksi,71.69,128.87,65.07,41,0,5.06,RU,1592687869
Onega,63.91,38.14,43.2,81,2,4.18,RU,1592687869
Deputatsky,69.3,139.9,75.43,28,0,2.17,RU,1592687869
Río Gallegos,-51.62,-69.22,39.2,69,86,10.29,AR,1592687869
Las Cruces,32.31,-106.78,97.0,5,1,13.87,US,1592687869
Gōtsuchō,35.0,132.22,64.71,84,35,3.83,JP,1592687870
Pangnirtung,66.15,-65.71,47.91,53,2,3.71,CA,1592687870
Yeppoon,-23.13,150.73,62.6,82,90,3.36,AU,1592687870
Guerrero Negro,27.98,-114.06,73.76,51,0,18.99,MX,1592687870
Hobyo,5.35,48.53,80.13,66,2,27.25,SO,1592687870
Coahuayana Viejo,18.73,-103.68,86.0,58,75,17.22,MX,1592687870
Timmins,48.47,-81.33,82.4,48,75,4.7,CA,1592687871
Belaya Gora,68.53,146.42,83.25,25,0,4.5,RU,1592687871
Dikson,73.51,80.55,35.92,84,99,22.75,RU,1592687871
Pisco,-13.7,-76.22,66.2,72,35,9.17,PE,1592687871
Ulaangom,49.98,92.07,58.14,57,30,3.29,MN,1592687871
Port Alfred,-33.59,26.89,64.99,44,20,7.0,ZA,1592687871
Karpogory,64.0,44.45,42.53,75,100,9.04,RU,1592687871
Sept-Îles,50.2,-66.38,60.01,67,75,3.36,CA,1592687871
Salym,60.06,71.48,52.39,98,100,6.51,RU,1592687872
Sitka,57.05,-135.33,51.8,87,90,13.87,US,1592687872
Wiarton,44.74,-81.13,82.4,51,75,2.24,CA,1592687843
Ketchikan,55.34,-131.65,55.4,82,90,11.41,US,1592687828
Tokmak,47.25,35.71,66.87,84,66,8.32,UA,1592687872
Kaitangata,-46.28,169.85,44.01,83,54,7.0,NZ,1592687872
Qasigiannguit,68.82,-51.19,46.4,64,5,6.93,GL,1592687873
Hofn,64.25,-15.21,51.66,89,42,7.23,IS,1592687873
Ust'-Ilimsk,58.0,102.66,57.31,84,64,1.03,RU,1592687873
Umluj,25.02,37.27,80.02,55,0,6.04,SA,1592687873
Mossamedes,-15.2,12.15,70.99,55,0,5.01,AO,1592687873
La Ronge,55.1,-105.28,57.2,54,75,6.93,CA,1592687873
Bethel,41.37,-73.41,84.99,51,1,11.41,US,1592687775
Dingle,11.0,122.67,77.63,78,35,4.59,PH,1592687874
Loralai,30.37,68.6,80.31,28,0,10.8,PK,1592687874
Iquique,-20.22,-70.14,64.4,63,75,11.41,CL,1592687874
Camaná,-16.62,-72.71,64.22,71,47,6.91,PE,1592687874
Beeville,28.4,-97.75,91.4,70,1,12.75,US,1592687874
Te Anau,-45.42,167.72,32.63,94,40,1.36,NZ,1592687874
Vostok,46.49,135.88,48.49,99,100,4.12,RU,1592687875
Nikolskoye,59.7,30.79,60.8,63,0,6.71,RU,1592687875
Gold Coast,-28.0,153.43,57.99,93,90,4.09,AU,1592687875
Pochutla,15.74,-96.47,87.8,66,40,6.73,MX,1592687875
Karasjok,69.47,25.51,50.0,76,0,4.7,NO,1592687875
Calvinia,-31.47,19.78,49.55,77,21,5.5,ZA,1592687875
Irbeyskoye,55.64,95.45,54.41,92,0,3.51,RU,1592687875
Virginia Beach,36.85,-75.98,73.99,88,90,10.85,US,1592687107
Bāfq,31.61,55.41,87.04,13,17,2.66,IR,1592687876
Atar,20.52,-13.05,101.84,12,36,9.31,MR,1592687876
Saskylakh,71.92,114.08,73.47,47,100,1.45,RU,1592687876
São Miguel do Araguaia,-13.28,-50.16,77.76,48,24,1.7,BR,1592687876
Varzelândia,-15.7,-44.03,70.75,49,17,7.36,BR,1592687876
Nantucket,41.28,-70.1,73.99,88,1,12.75,US,1592687876
Lichinga,-13.31,35.24,52.25,75,0,3.98,MZ,1592687876
Djibouti,11.5,42.5,89.26,30,0,2.44,DJ,1592687876
Kamenka,51.32,42.77,73.0,63,41,3.0,RU,1592687877
Cidreira,-30.18,-50.21,67.82,92,51,1.25,BR,1592687877
Vanavara,60.34,102.28,57.4,71,36,2.77,RU,1592687877
Tripoli,32.88,13.19,72.61,68,0,10.16,LY,1592687684
Terråk,65.09,12.37,73.4,49,43,3.36,NO,1592687877
Hamada,34.88,132.08,64.99,45,22,1.99,JP,1592687877
Chernyshkovskiy,48.42,42.23,68.97,63,98,8.34,RU,1592687877
Bereket,39.24,55.52,93.47,10,86,18.39,TM,1592687878
Kavieng,-2.57,150.8,82.67,73,22,1.83,PG,1592687878
Mahébourg,-20.41,57.7,69.8,88,40,11.41,MU,1592687878
Panacan,9.25,118.41,80.64,77,32,2.75,PH,1592687878
Leningradskiy,69.38,178.42,53.69,51,23,6.08,RU,1592687878
Staryy Nadym,65.61,72.68,47.82,66,47,12.28,RU,1592687878
Berlevåg,70.86,29.09,43.66,82,3,0.85,NO,1592687878
Zhalantun,48.0,122.72,59.61,93,14,4.7,CN,1592687879
Arraial do Cabo,-22.97,-42.03,78.8,83,0,6.93,BR,1592687879
Msanga,-6.05,36.03,66.2,68,20,9.17,TZ,1592687879
Santa Cruz Cabrália,-16.28,-39.02,77.0,65,31,5.82,BR,1592687758
Alofi,-19.06,-169.92,76.73,80,100,24.4,NU,1592687879
Volchikha,52.03,80.38,42.78,69,0,3.89,RU,1592687879
Cayenne,4.93,-52.33,84.2,70,67,4.7,GF,1592687879
Polunochnoye,60.87,60.42,42.66,79,90,9.06,RU,1592687879
Pathein,16.78,94.73,80.01,88,100,5.53,MM,1592687879
Vila Franca do Campo,37.72,-25.43,66.2,88,20,10.29,PT,1592687880
Dudinka,69.41,86.18,48.2,76,55,13.42,RU,1592687880
Codrington,-38.27,141.97,43.74,91,85,4.23,AU,1592687880
Araouane,18.9,-3.53,98.87,17,34,2.24,ML,1592687880
San Jose,37.34,-121.89,84.99,41,20,6.33,US,1592687779
Takapau,-40.03,176.35,50.0,96,100,4.81,NZ,1592687880
Smithers,54.78,-127.17,62.6,77,75,6.93,CA,1592687880
Laas,46.62,10.7,53.6,76,40,6.93,IT,1592687881
Chicama,-7.84,-79.15,71.94,60,2,10.4,PE,1592687881
Vardø,70.37,31.11,43.03,85,1,3.33,NO,1592687881
Muscat,23.61,58.59,93.2,52,48,4.83,OM,1592687881
Vidim,56.41,103.11,53.26,89,0,1.9,RU,1592687881
Airai,-8.93,125.41,54.63,100,6,3.6,TL,1592687881
Kununurra,-15.77,128.73,60.8,39,0,9.69,AU,1592687881
Henties Bay,-22.12,14.28,66.99,38,51,5.79,NA,1592687881
Katsuura,35.13,140.3,73.0,89,80,5.32,JP,1592687882
Onokhoy,51.93,108.07,50.0,87,61,4.47,RU,1592687882
Hithadhoo,-0.6,73.08,82.83,73,100,7.05,MV,1592687882
Khatanga,71.97,102.5,55.78,60,74,16.64,RU,1592687882
Macusani,-14.08,-70.43,47.19,52,16,4.12,PE,1592687882
Ancud,-41.87,-73.82,46.99,87,20,3.36,CL,1592687882
Mashivka,49.44,34.87,64.56,92,92,11.86,UA,1592687883
Tura,25.52,90.22,75.29,91,3,4.74,IN,1592687883
Payson,40.04,-111.73,80.6,21,90,8.05,US,1592687883
Rājula,21.05,71.43,84.07,76,100,13.76,IN,1592687883
Coquimbo,-29.95,-71.34,55.4,93,90,9.17,CL,1592687883
Salinópolis,-0.61,-47.36,80.11,85,6,10.96,BR,1592687883
Ndélé,8.41,20.65,71.44,89,87,4.23,CF,1592687884
Olafsvik,64.89,-23.71,51.4,86,75,3.18,IS,1592687884
Longyearbyen,78.22,15.64,39.2,86,75,17.22,SJ,1592687884
Altamont,42.21,-121.74,82.99,20,1,14.99,US,1592687734
Khovd,48.01,91.64,59.81,36,0,9.19,MN,1592687884
Micheweni,-4.97,39.83,77.68,74,77,15.43,TZ,1592687884
Vao,-22.67,167.48,67.68,60,30,12.08,NC,1592687884
Bathsheba,13.22,-59.52,84.2,79,40,17.22,BB,1592687885
Lagoa,39.05,-27.98,65.61,91,0,17.38,PT,1592687885
Rio Grande,-32.03,-52.1,62.6,100,90,4.7,BR,1592687874
Ola,59.58,151.28,51.13,83,11,4.79,RU,1592687885
Saint-Augustin,51.23,-58.65,52.41,64,74,11.1,CA,1592687885
Jacksonville,30.33,-81.66,90.0,46,75,17.22,US,1592687885
Kruisfontein,-34.0,24.73,57.7,87,99,3.65,ZA,1592687885
Calama,-22.47,-68.93,69.8,9,0,24.16,CL,1592687885
Garoowe,8.41,48.48,85.53,40,82,18.34,SO,1592687886
Al Bardīyah,31.76,25.09,84.22,28,0,14.61,LY,1592687886
Bhatgaon,21.15,81.7,79.39,71,100,7.2,IN,1592687886
Biu,10.61,12.19,73.89,76,45,7.2,NG,1592687886
Stillwater,36.12,-97.06,89.01,45,40,8.86,US,1592687886
Cervo,43.67,-7.41,66.0,78,100,1.01,ES,1592687886
Clyde River,70.47,-68.59,37.4,93,20,11.41,CA,1592687886
Talaya,61.38,152.75,62.49,47,0,4.38,RU,1592687886
Zonguldak,41.25,31.83,58.33,82,0,5.79,TR,1592687887
Ruteng,-8.61,120.47,61.29,100,95,2.84,ID,1592687887
Liverpool,53.41,-2.98,66.2,68,100,12.75,GB,1592687671
Lensk,60.73,114.93,62.04,70,52,2.62,RU,1592687887
Cabo San Lucas,22.89,-109.91,89.6,43,5,5.82,MX,1592687594
Sergiyevsk,53.94,51.16,60.89,94,37,4.81,RU,1592687887
New Norfolk,-42.78,147.06,44.01,92,100,1.43,AU,1592687887
Peto,20.13,-88.92,85.95,75,32,3.87,MX,1592687887
Patrocínio,-18.94,-46.99,71.6,68,3,3.36,BR,1592687888
Mayor Pablo Lagerenza,-19.93,-60.77,87.94,39,0,9.44,PY,1592687888
Oktyabr'skiy,54.48,53.47,59.45,95,100,5.75,RU,1592687888
Chambas,22.19,-78.91,86.02,72,70,9.69,CU,1592687888
Halifax,44.65,-63.57,87.01,45,7,4.41,CA,1592687796
California City,35.13,-117.99,100.99,11,1,8.08,US,1592687888
Aklavik,68.22,-135.01,48.2,87,90,11.41,CA,1592687888
Żurrieq,35.83,14.47,73.4,60,0,23.04,MT,1592687888
Kirakira,-10.45,161.92,80.19,80,100,9.28,SB,1592687889
Ponta do Sol,32.67,-17.1,71.6,64,40,16.11,PT,1592687889
Fortuna,40.6,-124.16,71.01,72,20,17.22,US,1592687889
Toamasina,-18.17,49.38,66.2,93,75,13.87,MG,1592687889
Birin,26.89,88.07,63.01,100,7,3.87,NP,1592687889
Beidao,34.57,105.89,63.61,79,68,2.73,CN,1592687889
Kudahuvadhoo,2.67,72.89,83.68,77,100,10.87,MV,1592687889
Massaguet,12.48,15.44,87.8,58,11,8.05,TD,1592687890
Tabou,4.42,-7.35,78.12,80,100,6.87,CI,1592687890
Alibag,18.64,72.88,84.2,83,40,6.93,IN,1592687890
Snezhnogorsk,69.19,33.25,48.2,70,0,4.47,RU,1592687890
Mumbai,19.01,72.85,84.2,83,40,6.93,IN,1592687769
Jiaojiang,28.68,121.44,72.0,85,100,0.74,CN,1592687890
Lavrentiya,65.58,-171.0,53.19,46,49,15.52,RU,1592687890
Puerto Baquerizo Moreno,-0.9,-89.6,77.0,73,40,12.75,EC,1592687890
Bajina Bašta,43.97,19.57,51.8,100,100,5.82,RS,1592687891
Tsarychanka,48.94,34.48,65.89,91,81,11.95,UA,1592687891
The Valley,18.22,-63.06,84.99,70,40,16.11,AI,1592687891
Bosaso,11.28,49.18,93.63,43,6,15.61,SO,1592687891
Sūsangerd,31.56,48.18,93.2,18,0,4.7,IR,1592687891
St. George's,12.06,-61.75,86.0,79,40,16.11,GD,1592687891
San Borja,-14.82,-66.85,86.05,59,82,4.29,BO,1592687892
Bose,45.46,8.01,70.0,70,63,3.0,IT,1592687892
Santa Cruz,30.42,-9.6,69.8,77,40,8.05,MA,1592687836
Praia,14.92,-23.51,77.0,73,20,16.11,CV,1592687892
Black River,18.03,-77.85,86.0,79,40,18.34,JM,1592687892
Kozhva,65.11,57.05,43.7,96,100,9.28,RU,1592687892
Bitung,1.45,125.18,75.2,94,20,1.12,ID,1592687892
Camacha,33.08,-16.33,68.0,82,40,10.29,PT,1592687893
Kostyantynivka,48.53,37.71,65.08,87,100,4.27,UA,1592687893
Corinth,37.94,22.96,71.01,49,0,1.99,GR,1592687893
Romitan,39.93,64.38,75.2,33,0,6.93,UZ,1592687893
Pedana,16.27,81.17,82.9,76,100,6.29,IN,1592687893
Fairbanks,64.84,-147.72,71.01,52,75,5.82,US,1592687893
Aras,42.56,-2.36,62.35,80,2,2.84,ES,1592687893
Saint George,37.1,-113.58,100.0,6,1,11.41,US,1592687773
Khani,41.96,42.96,62.6,93,75,5.82,GE,1592687893
Itarema,-2.92,-39.92,78.39,83,5,12.1,BR,1592687894
Cockburn Town,21.46,-71.14,86.0,70,40,13.87,TC,1592687894
Meulaboh,4.14,96.13,75.94,88,100,6.93,ID,1592687894
Palmer,42.16,-72.33,91.4,36,75,8.05,US,1592687894
Mulatupo,8.95,-77.77,83.52,73,100,4.43,PA,1592687894
Ilulissat,69.22,-51.1,46.4,59,5,6.93,GL,1592687894
Ubinskoye,55.31,79.68,40.1,86,0,5.5,RU,1592687894
Chapada dos Guimarães,-15.46,-55.75,91.4,24,4,9.17,BR,1592687894
Puerto Escondido,15.85,-97.07,89.6,62,75,6.93,MX,1592687895
Mercedes,-34.65,-59.43,60.01,59,100,1.99,AR,1592687895
Jalingo,8.88,11.37,77.9,79,57,3.22,NG,1592687895
Hambantota,6.12,81.12,81.82,79,100,18.34,LK,1592687895
Kolpashevo,58.31,82.91,40.87,79,5,5.88,RU,1592687895
Tautira,-17.73,-149.15,84.2,70,75,3.36,PF,1592687895
Galle,6.04,80.22,81.88,83,100,15.08,LK,1592687895
Gazimurskiy Zavod,51.55,118.33,47.98,85,0,2.57,RU,1592687896
Salima,-13.78,34.46,64.15,67,14,4.63,MW,1592687896
Monrovia,6.3,-10.8,78.8,94,20,6.69,LR,1592687896
Honningsvåg,70.98,25.97,44.01,83,0,4.63,NO,1592687896
Batemans Bay,-35.72,150.18,51.01,96,81,4.59,AU,1592687896
Marshfield,44.67,-90.17,71.01,88,90,4.7,US,1592687896
Achalpur,21.26,77.51,82.53,65,100,3.06,IN,1592687896
Trairi,-3.28,-39.27,79.18,78,5,10.42,BR,1592687897
Broken Hill,-31.95,141.43,46.4,70,9,18.34,AU,1592687665
Orvault,47.27,-1.62,60.01,87,46,5.82,FR,1592687897
Kaniama,-7.57,24.18,67.08,47,5,3.42,CD,1592687897
Ostrovnoy,68.05,39.51,41.2,87,95,9.78,RU,1592687897
Trincomalee,8.57,81.23,83.1,76,100,21.27,LK,1592687897
Yulara,-25.24,130.99,37.4,51,0,6.93,AU,1592687897
Benin,9.5,2.25,72.88,87,5,3.62,BJ,1592687897
Kailua,21.4,-157.74,82.4,65,75,13.87,US,1592687686
Powell,40.16,-83.08,91.99,27,1,0.96,US,1592687898
Quelimane,-17.88,36.89,68.0,88,20,6.93,MZ,1592687898
Changtu,42.78,124.1,71.47,59,78,19.44,CN,1592687898
Adrar,20.5,-10.07,100.98,14,22,9.17,MR,1592687898
Arrondissement d'Arcachon,44.59,-1.05,64.99,87,0,3.36,FR,1592687898
Kasongo-Lunda,-6.47,16.82,69.26,40,0,1.59,CD,1592687898
Waingapu,-9.66,120.26,74.89,81,12,10.65,ID,1592687898
Coyhaique,-45.58,-72.07,41.0,86,75,4.7,CL,1592687899
Ust'-Kulom,61.69,53.69,43.36,71,71,10.87,RU,1592687899
Verāval,20.9,70.37,84.76,78,97,15.03,IN,1592687899
Dakar,14.69,-17.44,80.6,78,1,4.7,SN,1592687700
Kashan,33.98,51.44,83.84,13,0,12.84,IR,1592687899
Port Shepstone,-30.74,30.45,62.24,57,0,6.02,ZA,1592687899
Tuatapere,-46.13,167.68,39.0,83,50,3.0,NZ,1592687899
Ossora,59.24,163.07,58.87,61,0,4.54,RU,1592687899
Beringovskiy,63.05,179.32,45.37,62,14,5.03,RU,1592687900
Plettenberg Bay,-34.05,23.37,60.3,81,97,4.92,ZA,1592687900
Saint Paul Harbor,57.79,-152.41,51.8,87,90,10.29,US,1592687900
Champerico,14.3,-91.92,91.4,66,20,9.17,GT,1592687900
Ternate,0.8,127.4,80.58,79,100,4.21,ID,1592687900
Visby,57.64,18.3,66.0,88,0,10.29,SE,1592687900
Kismayo,-0.36,42.55,78.17,78,47,19.26,SO,1592687900
Yaring,6.87,101.37,78.66,82,100,4.83,TH,1592687900
Marawi,8.0,124.29,75.99,91,89,5.01,PH,1592687900
Guangyuan,32.44,105.82,70.29,83,91,3.02,CN,1592687782
Antofagasta,-23.65,-70.4,60.8,67,20,8.05,CL,1592687901
Pacific Grove,36.62,-121.92,62.6,72,75,12.75,US,1592687647
Alice Springs,-23.7,133.88,37.4,69,0,4.7,AU,1592687708
Richards Bay,-28.78,32.04,62.64,83,0,9.37,ZA,1592687901
Tigil',57.8,158.67,56.5,74,39,5.35,RU,1592687901
Jinchang,38.5,102.17,72.19,44,84,12.59,CN,1592687901
Carnduff,49.17,-101.8,62.01,59,50,8.01,CA,1592687901
Goderich,43.75,-81.72,87.01,60,100,1.01,CA,1592687901
